variety,description
Pinot Noir,"Too sharp, with a bite of acidity and green tannins, but otherwise a decent introductory wine for learning about Pinot Noir's charms. It's dry and silky, with red cherry flavors."
Pinot Noir,"Flavors roll from cranberry to sweet red cherry in a red-fruit riot. It was aged in 52% new and 24% one-year-old oak, but it's unobtrusive and not especially toasty. The barrel time has begun to smooth out any bumps and rough edges, though a touch of phenolic bite remains. Drink from 2018 to 2022."
Pinot Noir,"One of South Africa's premier Pinot Noir producers, Hamilton Russell offers a 2007 Pinot that marries earthy and primal with poised and balanced. The nose exhibits black cherry, clove and anise, and on the palate, savory, rich fruit is balanced by a racy backbone and plucky spices. Elegant and intriguing."
Pinot Noir,"Spicy strawberry and cherry hover over forest floor and a tangle of tangy acidity that keeps this wine fresh and vibrantly compelling. Full bodied and robust, it maintains a balance in the glass, making it both food-friendly and an option on its own."
Pinot Noir,"Floral and aromatic, this wine is the opposite of the typical tannic Nuits-St.-Georges. It is lively, with vibrant red fruits, great rich black cherry flavors, with a light layer of tannin providing structure."
Pinot Noir,"This is intense and muscular without being overdone. Herbal and peppery notes bring nuance to the concentrated flavors of dark plum, mocha and baking spice. The finish is richly tannic but not hard, making it approachable now but capable of aging through 2030."
Pinot Noir,"This is a great effort by winemaker Etienne Terlinden, offering dense and deep but bright and lively blackberry, black cherry, cola, graphite and a touch of wild herbs on the nose. Long-lasting flavors of sarsaparilla, shaved licorice, vanilla bean, bay leaf, fennel seed and dark earth meet with more black cherry fruit on the palate, carried by an expert acidity level."
Pinot Noir,"The strawberry fruit shows a wild herbal side, with a touch of toasted grain. The tannins are firm and the finish carries a hint of chicken broth."
Pinot Noir,"Plenty of rich, forward raspberry and cherry pie filling flavors in this Pinot, which shows a delicate, silky mouthfeel. With crisp acidity and a spicy finish, it's easy to drink now with burgers and grilled salmon."
Pinot Noir,"This wine's distinct and intriguing nose pairs cola and cinnamon with cranberry, chopped chaparral scrub and wildfire smoke. That scrubby character of green sage and mugwort extends to the palate, spicing up the beet juice, ripe raspberries and a pencil-lead backbone."
Pinot Noir,"Grassy aromas send you toward a lean and gappy-feeling palate with rudimentary cherry and plum flavors blended with medicinal, green undertones. Turns more green on the finish."
Pinot Noir,"This wine is restrained on the nose and initially on the palate, showing a touch of reduction and tightly-held flavor. As it opens, it unleashes juicy dark cherry, berry and huckleberry notes, its core dense with tannin and oak."
Pinot Noir,"This has acidity and tannins that are rich and complex. The raspberry, cola and licorice flavors have a nice coating of smoky oak."
Pinot Noir,Nice wine—if you're a beaver. Dry cedar and toast overwhelms the modest fruit.
Pinot Noir,"This is rich, showing the full-bodied character of a Gevrey-Chambertin Premier Cru. It has a sense of gravity and structure, with a flavor of red-plum jelly. Solid and chunky, this already expresses its fruit, although it does need at least six years to mature."
Pinot Noir,"This wine is structured, dark and dense, with great swathes of smoky tannins plus plenty of red-fruit flavors. With its concentration, structure and richness, the wine will develop well and powerfully. Drink from 2021."
Pinot Noir,"Bow Tie is planted to a variety of clones, including Swan and Rochioli. It is one of the winery's newest vineyard sources and this vintage is the first of its vineyard-designated wines from the site. Floral in anise, plum and raspberry, it is medium-bodied with a background of oak that picks up on the finish, offering seasonings of caramel and chocolate."
Pinot Noir,"This is well-made in a classic Oregon mold, which is to say, putting plenty of herbal highlights into the mix. There are light red fruits in abundance as well, and the flavors meld well through a medium-long finish."
Pinot Noir,"This Pinot is consistent with the winery's previous bottlings over the years. It's a solid wine, with gentle tannins and tart acidity framing cranberry, cola and herb flavors. Drink now."
Pinot Noir,"Black cherry and blueberry fruit show on the dense, dark nose of this bottling, alongside clove, allspice, nutmeg, purple flower, crushed rosebuds and dust. Black and red plums show on the sip, as does chipped asphalt, charcoal and coffee. It's a standout in terms of darkness for a Pinot Noir."
Pinot Noir,"If you had the resources to analyze what makes a picture postcard-perfect Russian River Pinot Noir, and then to actually produce it in case quantities, this is what you'd come up with. The wine is dry and silky and crisply acidic, with pleasant cherry, root beer and spice flavors. It's as friendly as can be and fully ready now."
Pinot Noir,"Another successful 2011 from this winery, in fact the best of their six new Pinots. Shows the brilliant acidity and light, delicate texture of the coast, with the concentrated fruit, cola and spice flavors this esteemed vineyard is noted for. Highly complex and dry, it's delicious to drink now, and should age well for a good six years."
Pinot Noir,"A pale shadow of richer Russian River Pinot, but with plenty of flavor and appellation character. Sort of an introductory  Pinot, with pretty cola and cherry flavors and silky tannins. Snaps to a quick finish."
Pinot Noir,"From a section of the producer's Quail Hill Vineyard, this wine sings with smoky sage and forest floor notes, its tingling acidity emphasizing freshness. Its backbone of thick tannins offers strength and power, contrasting more delicate layers of blueberry flavor."
Pinot Noir,"This bright, focused wine with tense acidity blends fruit from five vineyards across the appellation. Silky tannins enwrap its nuanced dark cherry and wild strawberry flavors tinged with earth."
Pinot Noir,"Scratchy, dry raspberry aromas are standard and accurate for Pinot. The mouthfeel is tight and crisp, with gentle acids pushing standard strawberry, raspberry and oaky flavors of cocoa and spice. Mild tasting but long on the finish."
Pinot Noir,"Biodynamically farmed, this young vineyard seems to improve with each new vintage. More and more you find an expression of soil details—delicate streaks of dried leaf, moist loam, a flavor of clay. The fruit is refined and perfectly ripe, without being fleshy. An elegant style, cellar-worthy but delicious already."
Pinot Noir,"Interesting components of rural earth, mushroom, plum, dark cherry and cola spice play off each other in this robust, full-bodied Pinot, from the growers of Toboni Vineyards."
Pinot Noir,"Good concentration, which gives the fruit more plum and black cherry than red raspberry. It's deep and sinuous, with threads of graphite and smoke, but the fruit is the star here, and the wine has the concentration and acidity to cellar well for a decade or more."
Pinot Noir,"The style at Martinborough Vineyards has always been geared toward aging, and this 2011 is still remarkably fresh. Floral and cherry notes lead the way, backed by tart acids and firm tannins. Worth stashing away until 2018."
Pinot Noir,"Produced from old vines in the Aegerter Domaine, this wine is dominated by red fruits and spice from wood aging. It is fruity, perfumed and likely to be ready to drink soon. Drink from 2018."
Pinot Noir,"This is a blend of several marquee vineyards, including Gap's Crown, Martinelli and Widdoes. It comes together nicely in a mix of fig and baked bread, peppered in baking spices and dried herb. Cherry comes through along with subtle hints of violet and rose, before a long, lingering finish ties things in a juicy bow at the end."
Pinot Noir,"Thin, dilute, with a minty, unripe character, and hard-as-nails tannins."
Pinot Noir,"Ripeness marks this Pinot. It floods the mouth with jammy raspberries and cherries, brightened with acidity. Seems a bit straightforward by virtue of sheer dazzle, but it is a superb example of the Santa Rita Hills, at a good price."
Pinot Noir,"Rugged scents of wild berries and forest woods blend into intriguing aromas on this wine from the highest Pinot Noir vineyard in the Santa Cruz Mountains. It unleashes a rainbow of flavors, from acai and red fruit to rum cake and brown spices to mocha, tea, tobacco and Dr. Pepper."
Pinot Noir,"Here is the most engaging offering of the winery's 2013 single vineyard Pinots. It's bright with red-berry fruit and tropical-candy highlights. Meyer lemon peeks in, and the tangy fruit flavors continue into a finish of medium weight and length. Drink now and over the next couple of years."
Pinot Noir,"A Pinot in the ultralight style. There’s cranberry and tea qualities, and an almost weightless mouthfeel. No new oak renders it clean and fruity, with plenty of fresh-berry essence. In the end, it’s a lightweight that closes with licorice and anise notes."
Pinot Noir,"Give this lovely Pinot Noir a few hours in the decanter and serve now with your best lamb and steak entrées. It's dry, refined in the acid-tannin balance and deliciously complex, with waves of raspberries and cherries, pie crust, baking spices and toasted oak."
Pinot Noir,"This firm, well-crafted wine reflects the lightness of the vintage. Raspberry, citrus and stone components come across in a balanced effort that should continue to drink well until 2020."
Pinot Noir,"From a vineyard planted in 1988, this bottling offers aromas of lavender and sweet incense, with a woody spice uplifting the exotic plum and mulberry fruits. Ripe wild berries meet with elderflower and lilac on the very perfumed palate."
Pinot Noir,"This is a bigger, more forceful wine than its Lindemans stablemate, but not quite as charming. The flavors are earthy and dark, featuring hints of cola and root beer. Finishes with drying tannins. —J.C."
Pinot Noir,"Sometimes a blend of vineyards like this one can equal or surpass the single-vineyard bottlings. This complex and well-rounded wine achieves a good balance between seductive fruit flavors and more subtle, woodsy, savory nuances from whole-cluster fermentation, while not going over-the-top in body or oakiness. Each sip uncovers more spice, more cedar and more subtlety."
Pinot Noir,"This is a light-colored wine, with structure and acidity to balance the perfumed cherry-flavored fruit. Still young, still developing its fruitiness, the wine is going to be crisp with attractive strawberry flavors and soft tannins. Drink from 2019."
Pinot Noir,"This full-bodied wine demonstrates the jammy side of Volnay. It is rich and dense, and it has a delicious berry flavor. In the process of all this generosity, the tannins are lost, so drink it over the next few years."
Pinot Noir,"Light in weight and lacy in texture, this is a savory, subtly flavored Pinot Noir that's ready to drink. Notes of smoke, mushrooms and dried herbs intertwine with tart fruit."
Pinot Noir,"A rich, candied Pinot Noir, filled with raspberry, cherry and mocha flavors. It's a bit simple, but deliciously so, with a crisply silky texture."
Pinot Noir,Ripe luscious aromas of fleshy red plum and cherries turn a bit more demure on the palate of this Pinot Noir rosé. It's a full bodied wine with yielding acidity and pleasant heft on the palate. A touch of minerality lends elegance to the finish.
Pinot Noir,A bit of charred wood and black pepper in the aroma give way to lush berry and cherry flavors that spread across the palate and cling to the sides of the mouth. This wine is lightly oaky and has an attractive richness that lasts on the finish.
Pinot Noir,"This is a limited (two barrels) bottling from a Dundee Hills vineyard. Tight red currant fruit is streaked with licorice and baking chocolate. There's plenty of acid, not entirely integrated into the fruit, and a hint of caramel in the finish. Good components, though not yet a complete and seamless wine."
Pinot Noir,"Five vineyards contribute their best barrels to this outstanding blend, which carries the humble Oregon AVA on its label. It's a testament to the art of blending, as most of the components are also featured in vineyard designates, but here the whole is more than the sum of its parts. It's a showcase of pure, dense, detailed red fruits, set in perfectly matched acid, tannin and mineral elements."
Pinot Noir,"Although this has a rustic edge, this is an attractive, ripe and red-fruited wine. It has a rich, jammy quality that combines with the dry tannins. The finish is dense and firm. Enjoy this now, or wait for three years."
Pinot Noir,"Meant to impart the meaning of the “true” Sonoma Coast, this bottling hails from Campbell Ranch near Annapolis. It impresses with its lush complexity: cherry grenadine and forest floor scents, with cardamom spice and a hint of orange peel. It's full-bodied and densely powerful."
Pinot Noir,"This is sourced from 1970s-era vines. It's an almost ethereal weave of berry, saffron, mint, cola and tea, all wreathed in light smoke. It shows lovely complexity for such a young wine, and it's got the balance and structure to age nicely. Drink now through 2025."
Pinot Noir,"The fascinating nose of this wine is reason enough to seek it out—an aromatic display of underripe raspberry, tart pomegranate, fresh dill, eucalyptus and sage. Montmorency cherry notes show on the palate, along with mace, Vietnamese cinnamon and fennel. A unique, refreshing and memorable wine."
Pinot Noir,"This wine's incredibly distinct nose of pure fruit shows plump raspberries alongside delicate grapeseed, a pinch of baking spice and a whiff of yeast. Though the wine is light in color and frame, the palate shows lots of earth, tobacco smoke, cherry pits, bouquet garni and rosemary, with refreshing wild berry fruit."
Pinot Noir,"This wine is dense, although you hardly notice the tannins for the weight of concentrated fruit. The tannins are there, though, a power to thrust this immense wine well into the future. It is well formed, firm while rich. Drink from 2024."
Pinot Noir,"Starts out very full-bodied and rich, almost too heavy for Pinot Noir. Then the acids kick in to accent the silky texture, and you know it's a ripe, ageable Pinot Noir. With deep flavors of raspberries, cherries, red currants, licorice, cocoa and peppery spices, it should develop well over the next 4–6 years."
Pinot Noir,"This bottling of the 667 and Pommard clones starts with a stewed-cherry note before the sagebrush, forest floor and moss aromas start to dominate. There's an exotic sesame touch to the sip, where cherry and berry flavors are lifted by savory hints of salt, pepper and nori wrap. Really unique and delicious, it leaves the mouth watering and invigorated."
Pinot Noir,"Made by an Oregon winery from Carneros region grapes, this wine tastes mellow and mature. It has a relatively light color with an auburn rim, aromas that are savory and meaty, flavors like rhubarb and beef, a fairly crisp balance and smooth texture."
Pinot Noir,"A seductive, downright sexy wine, this opens with scents of dried cherries and sandalwood. Those cherry flavors expand inside a frame of dark chocolate. Tannins have a bit of a shell, but ample aeration takes the stiffness out."
Pinot Noir,"In its second vintage, this wine is light and spicy, clearly made to be enjoyed with food. A collaborative effort between winemaker Guy Davis and proprietor/grapegrower and chef Guy Fieri, it shines in subtly toasty oak, cinnamon and dark cherry flavors, with a lingering lushness on the finish."
Pinot Noir,"Wet slate, cinnamon and allspice notes meet with red cherry, baked black cherry and bramble on the nose of this bottling from a popular single-vineyard source. Clay and chalky earth notes show on the palate, which is very full and rich with tart cherry, black plum and pencil-lead flavors."
Pinot Noir,"Light and easy, and made for drinking now. Shows plenty of charm, with dry, crisp flavors of herbs, red currants, tobacco and spices, wrapped into scoury tannins."
Pinot Noir,"For those wondering what minerality means in a red wine, this bottling is the answer. Against the black cherry and dark strawberry on the nose rise powerful crushed slate and smashed graphite aromas. The palate starts with cranberry and pomegranate, but the slate and rocky-soil flavors swing back in, giving backbone to the hints of bay leaf and herbs."
Pinot Noir,"This is a sort of junior version of Swan's awesome Trenton Estate Pinot. It shows the same dryness and acidity, with appealing flavors of cherries, raspberries and mushrooms. It's not quite as dense and complex, but it's a gorgeously silky Pinot Noir."
Pinot Noir,"A huge Pinot Noir, superripe and exotic in raspberry and cherry jam, persimmon, cola, cinnamon, clove and sandalwood flavors. Defines the Sonoma Coast, with a crisp spine of acidity providing bright structure. Bold now, all fruit and oak, but has the balance to develop bottle nuance through 2015, at the very least."
Pinot Noir,"Zippy acidity balances soft sour-cherry and rustic earth tones on Millbrook's standard-label Pinot Noir. It's an elegantly subdued wine, with soft, gentle tannins and a hint of green herb that linger on the finish."
Pinot Noir,"Juicy on the palate with ample black cherry and Damson plum flavors, this is an easy-drinking Pinot Noir with just the faintest whisper of tannins. Hints of bramble and wet earth add dimension."
Pinot Noir,"Concentrated cherry and plum aromas meet with iron, cinnamon and gingersnap on the nose of this single-vineyard wine. The flavors surpass the aromas in succulence—star anise, nutmeg and bay leaf seemingly wrapped in buttered pastry."
Pinot Noir,"Named for the soil layers important to wine's terroir, this Pinot is sourced from a variety of sites and multiple clones, providing a complexity of wild strawberry, high acidity and an herbaceous, oaky backdrop. A teasing kiss of toffee and chocolate on the finish is deliciously intriguing."
Pinot Noir,"The 30-year-old vines at Canary Hill seem to have ripened well at lower brix, yielding a full-flavored, forward wine with lovely plum and cherry fruit. There also are pleasing details of leaf and cured meat, in a wine that keeps on giving the more you look."
Pinot Noir,"Cherry and clove star in this vineyard-designate from a good vintage, in which the producer again aims low in terms of ripeness. It makes for a somewhat one-dimensional experience once the initial aromas and bite of flavor dissipate on the palate."
Pinot Noir,"The appellation is good at producing soft early drinking wines like this. It is fruity with good acidity and red-currant fruitiness. The tannins are in the background, allowing the wine to age for a few years. Drink this ripe wine from 2018."
Pinot Noir,"This small production (200 cases) Pinot Noir is a mix of older and younger estate vines, a selection of lots given 22 months in 60 and 132 gallon French oak casks. It's still tasting quite young, sharp and chewy, with spicy fruit backed up against earthy tannins. Give it plenty of breathing time."
Pinot Noir,"A very rich Pinot Noir, this tastes almost as heavy as pie filling. It's delicious, tasting of brown sugar, ripe black cherry and pie spice, with a buttery toast note from oak barrels. It's a little soft, so drink up."
Pinot Noir,"This wine, which shows a touch of age, offers heady aromas of damp morel mushrooms, dried seaweed, a soy-like umami, iodine and beef jerky. It's meaty on the palate, with tart cranberry and dried orange rind flavors, lifted with hints of violets, lavender and pepper."
Pinot Noir,"Finely perfumed, with berry fruits that freshen the more severe tannins. The wine has concentrated structure, smokiness as well as fresh acidity. The finish is dry and firm."
Pinot Noir,"Light aromas of tea, briary raspberry and field notes are mild as a whole. Feels juicy, lean and transparent, with agile dry-fruit flavors, cocoa and modest buttery oak. Light in weight and tasting on the tail end."
Pinot Noir,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game."
Pinot Noir,"This wine captures the essence of Swan's 2010 Pinot Noirs. It shows the effects of the cool vintage, and it bears an earthy, mushroomy inflection to the plummy and cherry-like flavors."
Pinot Noir,"Elegance is the keyword for all the wines of DDO, with the added bonus of structure that almost begs for cellaring. This lovely Pinot Noir effortlessly captures the essence of the grape without any heavy-handed oak, alcohol or over-ripeness. Truly Burgundian, a moderate 14% alcohol, it offers seamless integration of berry and plum fruit, natural acids and lightly applied oak accents of sandalwood and toasted cracker."
Pinot Noir,"Despite the bold statement of this rosé's cat-shaped bottle, it is fairly subdued, suggesting more mineral tones than fruit. It's brisk and lemony though, with a refreshingly clean finish."
Pinot Noir,"An oaky, concentrated wine, this is briary in robust black and blue fruit that offers a smidgen of black tea. Tannic, this is a powerful wine from a powerful vintage, exuding much of the appellation's earthy signature."
Pinot Noir,"This wine is sourced from grapes grown in an organic estate vineyard in the heart of the Green Valley. Flavors of raspberries and pomegranates are delicious, and new French oak marries seamlessly with the fruit. Vibrant coastal acidity makes everything sing. If there's an off note, it's a mushroom and veggie note, courtesy of the cold vintage. The wine is already softening in tannins so drink now."
Pinot Noir,"Stewed black plum and tangy black cherry fruit meet baking spice and cola on the nose of this bottling from Lompoc-based Brian Loring. The palate is tangy with black cherry and cranberry, with a touch of herbs and forest floor."
Pinot Noir,"Light raspberry fruit carries a suggestion of clean earth and dried herb. The tannins show some substantial grip. The overall balance is fine, though the wine drinks younger than most 2012s. Best after 2020."
Pinot Noir,"Produced from the oldest Pinot Noir vines in the Willamette Valley, this extraordinary wine is history in a bottle. Glorious aromatics offer intense scents of citrus, pine needle, pepper and berry, with flavors following. There's a welcome kick of citrus in the natural acidity, and this promises a long cellar life, as proven over and over again by this founding Oregon winery. Drink 2020 through 2040 and beyond."
Pinot Noir,"This lovely, evocative wine celebrates the finesse that characterizes the finest Pinot Noirs. Delicate nuances of bramble, cinnamon, tar and nougat wrap around and weave through a core of black cherry fruit. Ample acidity ensures much life ahead, through at least 2025."
Pinot Noir,"This is a terrific representation of all that is spectacularly specific about Keefer Ranch, a relatively cool site for grapes in Green Valley. Earthy and spicy in clove and nutmeg, the wine is layered in cranberry and crisp cherry. It's supple and silky on the palate, with an earthy oomph to the finish."
Pinot Noir,"A soft, silky-textured Pinot Noir, this wine starts off with admirable complexity on the nose in the form of bacon, smoke, fresh greens and strawberries. Despite an overall lack of punch, it's easy to drink and offers decent value in Pinot Noir. Imported by AUSA Pacific, LLC."
Pinot Noir,"Raspberry and clove characterize the nose on this single-vineyard bottling. The palate kicks off with vibrant black cherry, slips toward black olive on the midpalate and ends with bright acidity on a decent finish."
Pinot Noir,"This is edgy and lean, with mulch and latex on a stripped back nose. In the mouth, it clangs around due to racy acidity. Flavors of leafy red fruits and citrus are not fully convincing."
Pinot Noir,"A very tight, tart and tannic Pinot Noir, almost impossible to open up despite hours of breathing. Acidic and unyielding, the rating is a compromise between what it is currently showing and what it hints at if you probe deeply enough."
Pinot Noir,"Stewed black plum and tangy black cherry fruit meet baking spice and cola on the nose of this bottling from Lompoc-based Brian Loring. The palate is tangy with black cherry and cranberry, with a touch of herbs and forest floor."
Pinot Noir,"The winery's single-vineyard 2011 Pinots varied widely in this erratic vintage. Dry and tart, the wine is marked by a vegetal streak that cuts through the raspberries and cherries."
Pinot Noir,"Winemaker Kim Crawford has crafted a dark, full-bodied Pinot Noir that could use another year or two of bottle age. The nose is slightly meaty and bacony, while the palate delivers dark flavors of black cherries, plums, cola and baking spices before turning firm on the finish. Drink 2018–2025."
Pinot Noir,"This is a memorably refreshing and reasonably complex effort, a crisp, delicious mix of tangerine, grapefruit and fresh strawberry made by the saignée method. Meaty, with texture, it's round, balanced and dry. Stock up."
Pinot Noir,"This wine from the Palos Verdes coastline is redolent with sagebrush, crushed anise and alpine strawberries on the herbally aromatic nose. The sage also powers the palate, alongside juniper and pine, all set against a wild berry frame. This is a big Pinot, though it is relatively light in structure and happily reliant on savory herbs rather than overly ripe fruits."
Pinot Noir,"Well balanced and moderately flavorful, this wine feels quenching and appetizing at the same time but needs time to round off its rough edges. It's not overwhelmingly fruity or oaky, but has compact, concentrated red cherry and rhubarb and a good firm grip of tannin and fruit acidity. It will be best after 2019."
Pinot Noir,"A gentle, easy Pinot, showing a finely dry, silky texture and ripe flavors of cherry and raspberry jam. Drink now."
Pinot Noir,"Sharp cinnamon and concentrated but light hibiscus and strawberry notes meet with an extreme menthol character on the nose of this bottling. That minty element explodes on the palate, where camphor and pine needle flavors overwhelm the strawberry fruit."
Pinot Noir,"Fairly light in the glass, this bottling shows sharp pomegranate aromas with a gunmetal edge and a touch of cracked-pepper spice. Pomegranate also arises on the palate as does orange rind, tart cherry and an intriguing potpourri and lavender element, altogether light and easy to drink."
Pinot Noir,"Light in color and silky in texture, this earthy wine offers overtones of cinnamon, dark cherry, raspberry and clove. Well integrated in terms of oak and tannin, it's full-bodied enough to please those who like a bigger styled wine."
Pinot Noir,"This new entry into the value-wine sweepstakes is a pretty rose color, offering clean, light scents of wild berry and milk chocolate. Flavors are gently spicy with a malty finish."
Pinot Noir,"Concentrated tannins balance this juicy red-berry flavor wine. The wine is still very young, showing its tannins strongly. They will certainly integrate. Drink this potentially rich wine from 2022."
Pinot Noir,"Perhaps the most forward and appealing wine in the lineup, the Vista Hills Pinot Noir brings round flavors of chocolate-covered cherries, hints at pepper and herb, then finished up with lots more chocolate. Though not as detailed as some of the other Panther Creek single-vineyard offerings, it has pleasure written all over it."
Pinot Noir,"This is smooth as silk—supple and soft, with pretty cherry fruit and highlights of cocoa powder and coffee grounds. It's a professionally built wine all the way, made for easy enjoyment, with satiny tannins and a touch of anise."
Pinot Noir,"Schug's regular Pinot, as opposed to their Heritage Reserve, is a dependably village-style expression of easy-drinking, cool-climate Pinot Noir. The '06, like previous vintages, shows a silky, delicate texture framing cherry, raspberry and cola flavors, with a smoky vanilla edge of oak."
Pinot Noir,"A very finely crafted Pinot Noir, although it's also very young and wants some time in the cellar. Combines great Highlands fruit power and tannic structure with a silky, delicate mouthfeel. Beautiful now for the elaborate raspberry and cherry flavors, elaborated with beautiful oak, but better after 2013."
Pinot Noir,"Dark-colored and deeply flavored, this full-bodied wine smells smoky and meaty, tastes savory, feels firm and appropriately tannic. Showing the more robust, hearty side of Pinot, it can be paired successfully with most opulent meat and fowl dishes."
Pinot Noir,"Acidity is the main thing you notice when you sip this bone-dry wine. Also the light body, like silk in the mouth. It's delicate in texture, yet potent in flavor, offering waves of raspberries, cherries, red currants and spicy cola. It's a fine wine, but really too young. Hold it until 2018, at least."
Pinot Noir,"Savory and structured, it has a supple layering of allspice that dances on the palate, with floral violet tones. Black cherry and earth make up the soul of this wine; it's both classy and hearty."
Pinot Noir,"This widely available and well-priced appellation blend shows dark aromas of black raspberry, elderberry, wet slate and crushed gravel on the nose. The wine makes a soft entry on the palate, where mulberry meets with Earl Grey tea and a pinch of anise."
Pinot Noir,"Fruity in a grapy, plummy way, this is a substantial wine with deceptively sweet undertones that finishes dry and with a slight tang of black tea."
Pinot Noir,"Aromas of pork au jus with mashed cranberry and pomegranate mesh expertly with sage spice, woody forest-floor notes, porcini mushrooms and a touch of juniper on the nose. The palate offers lots of juniper and anise spice atop a boysenberry core, with black slate and graphite minerality."
Pinot Noir,"From negociant Nicolas Potel's own vines, this wine is dense and smoky. It has spice and hints of licorice as well as rich red-cherry fruit. The tannins and the structure of the wine promise aging, so drink this concentrated wine from 2020."
Pinot Noir,"This dry-farmed property produces concentrated grapes. Particularly in this vintage, it offers burly, tannin-laced fruit with a tendency to brood. Soft and velvety on the palate, it veers into tangy, oaky and spicy finishing touches."
Pinot Noir,"Dark and structured, powered by smoky tannins and plum skin texture. The wine is just beginning, its weight an indication of good aging potential. It is firm and dense, the acidity providing an attractive final freshness."
Pinot Noir,"This starts out well, with soft, plummy fruit. It then turns a corner into an odd, lingering finish with residual flavors of sour fruit, plastic and gun metal."
Pinot Noir,"Veteran winemaker Larry McKenna says Te Rehua consistently shows the most ripeness of his various single-vineyard wines. In this vintage, that comes across as a slightly jammy midpalate filled with plums and blackberries. Upfront, there's a floral element, and on the finish, some dusty tannins. Try it once 2016 rolls around, and drink it through 2025."
Pinot Noir,"Subtle, spicy oak influences mingle beautifully with tasty Bing cherry and persimmon flavors in this medium to full bodied wine that has a silky texture, crisp balance and fine-grained tannins. Good balance and interesting complexity propel it more than fruit intensity."
Pinot Noir,"Distinctive and precise, this well-priced wine should have a place in your cellar. It captures the specific characteristics—terroir if you will—that distinguish the best Willamette Valley Pinot Noirs: highlights of cola and herb, refreshing minerality, a perfect balance of fruit, acid and tannin, and a riveting liveliness in the mouth. All this without any hint of new oak makes this a winemaking tour de force."
Pinot Noir,It's not clear what separates this from some of the other estate-grown cuvées. The thin strawberry fruit accompanies rather stemmy tannins and a green vegetal streak.
Pinot Noir,"Lots of zesty acidity in this wonderfully complex, exotic Pinot Noir, which comes from the true Sonoma Coast, in the Fort Ross area. It's explosive in wild summer raspberries and cherries, briary nettles, vanilla bean and spices, with a perfect coating of sweetly caramelized oak. Very pure and refined, and best enjoyed young."
Pinot Noir,"Leathery cherry aromas lead to a fresh medium-bodied palate. Flavors of spiced plum, cherry and herbal tomato finish with tea notes along with dry spice. Overall, this is balanced and succeeds by keeping things simple."
Pinot Noir,"Aggressive vanilla and tobacco flavors overtake the simple, light cherry fruit. The over-oaked impression continues into the finish, which leaves a bitter aftertaste."
Pinot Noir,"Showing classic Santa Lucia highlights of enormously ripe cherries, Asian spices and acidity, this wine flatters the palate with the sheer force of its fruit and new oak. It's a young, fresh, vibrant wine that's at its best now."
Pinot Noir,"Tasted in a flight with far more expensive wines, this Pinot stood proud. It's dry and richly complex, with the silk-and-satin texture you want. The flavors reward with cherries, cola, Canadian bacon, Indian spices and sandalwood. At this price, it's a steal."
Pinot Noir,"Formerly the deLancellotti vineyard, Silice brings fresh, supple flavors of bright raspberry and cherry fruit. A distinctive ashy stone note forms the bassline, holding the finish firm. It should benefit from another year of bottle age. Or give it a long decant to enjoy now."
Pinot Noir,"With scents reminiscent of an early morning hike through a foggy forest, it features aromas of cola, sassafras and a damp, earthen funk. It hits the palate with a medium body, delivering some violet florals at first and, with enough swishing, finishing on sanguine flavors of red meat."
Pinot Noir,"This is a very spicy, peppery wine, and while it's pretty good, it's rougher and more rustic than most of its peers in Anderson Valley. The cherry, cola and carob flavors are savory, but there's a quality to the tannins that's robust, to say the least. Could be a sleeper."
Pinot Noir,"This vintage of Mirabai is open and full-throttle fruity, with appealing cherry scents and flavors. It's a lovely, delicate shade of rose, with a floral component to the bouquet. It's a subtle, elegant wine that offers immediate enjoyment and the prospect of cellaring well through 2020 or longer."
Pinot Noir,"Rich aromas of boysenberry, cranberry, pipe tobacco and dark chocolate prepare the palate for flavors of cherry syrup and pomegranate. Soft but persistent tannins are apparent in the mouth, and the finish offers lingering flavors of dark chocolate and coffee."
Pinot Noir,"Presumably unfiltered, this wine is slightly cloudy, which leads to a nicely creamy mouthfeel. But first come aromas of blistered cherry tomatoes, fennel seeds and green olives, followed by flavors of soft strawberry, tart cranberry and a tongue-tantalizing finish of cracked peppercorn. Serve with roasted pork."
Pinot Noir,"Chunky cherry and earthy tea aromas lead to a supremely tannic and overbearing body, leaving a residue as it transitions to the finish. Flavors along the way include oak, vanilla, syrupy berry, plastic and creamy chocolate."
Pinot Noir,"Clean and classic aromas of dark-red fruit, from cherry to bramble, meet with candied rose petal and clove aromas on the nose of this appellation blend. The palate is led by allspice and dried mint, all packaged in a medium-bodied format."
Pinot Noir,"Fruit is the star of this wine. It's gigantic and forward in sweet raspberry and cherry flavors that taste wild, picked under a hot summer sun. Fortunately, there's a lot of acidity, and firm tannins provide additional structure. The finish is thoroughly dry. A bit in your face now, but could do interesting things over the years."
Pinot Noir,"Rubbery plum, tomato and spice aromas are modest. This has a standard but healthy mouthfeel and flavors of raspberry, herbs and spice. On the finish, this doesn't offer anything different than what's on the palate."
Pinot Noir,"This estate-grown Pinot is still pretty rough and chewy, with earthy tannins that are chalky and drying. The fruit leans toward cranberry, with some vanilla flavors threaded in."
